id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_id
66,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,SO2,5,14,8,NA
67,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,CO,45,124,110,NA
68,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,OZONE,18,25,21,NA
69,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,PM2.5,12,92,49,NA
70,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,PM10,13,137,77,NA
71,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,NO2,16,57,29,NA
72,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,NH3,3,6,4,NA
73,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,SO2,2,41,17,NA
74,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,CO,22,82,55,NA
75,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 2:00,OZONE,10,127,41,NA
76,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 2:00,PM2.5,1,94,49,NA
77,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 2:00,PM10,13,115,66,NA
78,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 2:00,NO2,12,37,21,NA
79,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 2:00,CO,30,46,42,NA
80,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 2:00,OZONE,7,73,14,NA
81,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 2:00,PM2.5,28,335,98,NA
82,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 2:00,PM10,19,252,101,NA
83,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 2:00,NO2,46,101,63,NA
84,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 2:00,NH3,4,8,6,NA
85,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 2:00,SO2,5,11,8,NA
86,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 2:00,CO,70,109,99,NA
